ChamberName,ChamberID,SampleName,Blue_Channel_NumberOfPositiveDroplets,Blue_Channel_NumberOfNegativeDroplets,Green_Channel_NumberOfPositiveDroplets,Green_Channel_NumberOfNegativeDroplets,Red_Channel_NumberOfPositiveDroplets,Red_Channel_NumberOfNegativeDroplets
0453213-2-A1_2F01,0453213-2-A1,#2-F01,930,12442,1277,12095,1346,12026
0453213-2-B1_2F01,0453213-2-B1,#2-F01,1529,20260,2145,19644,2123,19666
0453213-2-C1_2F01,0453213-2-C1,#2-F01,1256,18756,1796,18216,1759,18253
0453213-2-D1_2F01,0453213-2-D1,#2-F01,1497,20334,2071,19760,2102,19729
0453017-6-A2_3B04,0453017-6-A2,#3-B04,1613,19097,2283,18427,2346,18364
0453017-6-B2_3B04,0453017-6-B2,#3-B04,1502,17308,2011,16799,2021,16789
0453017-6-C2_3B04,0453017-6-C2,#3-B04,1726,18983,2243,18466,2277,18432
0453017-6-D2_3B04,0453017-6-D2,#3-B04,1590,17351,2049,16892,2119,16822
0453259-0-A3_3E07,0453259-0-A3,#3-E07,646,20361,160,20847,554,20453
0453259-0-B3_3E07,0453259-0-B3,#3-E07,689,19662,210,20141,636,19715
0453259-0-C3_WT,0453259-0-C3,U2OS-wt,1400,17583,0,18983,1702,17281
0453350-4-A1_#1-C10,0453350-4-A1,#1-C10,1070,20174,1471,19773,1123,20121
0453350-4-B1_#1-C10,0453350-4-B1,#1-C10,1177,19524,1552,19149,1178,19523
0453350-4-C1_#1-C10,0453350-4-C1,#1-C10,1224,17049,1452,16821,1094,17179
0453350-4-D1_#1-C10,0453350-4-D1,#1-C10,1180,17397,1369,17208,976,17601
0453346-1-A2_#2-G04,0453346-1-A2,#2-G04,562,17664,456,17770,486,17740
0453346-1-B2_#2-G04,0453346-1-B2,#2-G04,532,16493,515,16510,532,16493
0453346-1-C2_#2-G04,0453346-1-C2,#2-G04,495,17171,496,17170,450,17216
0453346-1-D2_#2-G04,0453346-1-D2,#2-G04,368,10140,304,10204,295,10213
0453302-3-A3_#3-E07,0453302-3-A3,#3-E07,716,17285,209,17792,657,17344
0453302-3-B3_#3-E07,0453302-3-B3,#3-E07,780,19549,228,20101,752,19577
0453302-3-C3_wt,0453302-3-C3,U2OS-wt,1256,14325,0,15581,1398,14183
0448644-2-A1_#1-C10_allSNAP + 2xRef,0448644-2-A1_allSNAP + 2xRef,#1-C10,1312,23788,1691,23409,1301,23799
0448644-2-B1_#1-D07_allSNAP + 2xRef,0448644-2-B1_allSNAP + 2xRef,#1-D07,1767,22145,1219,22693,1239,22673
0448644-2-C1_U2OS-wt_allSNAP + 2xRef,0448644-2-C1_allSNAP + 2xRef,U2OS-wt,1571,21313,0,22884,1893,20991
