"","Sample","Positives","Negatives","TargetType","T7","singleColony","imaging"
"1","203",431,25140,"Unknown","1","1","1"
"2","214",680,19061,"Unknown","1","1","1"
"3","220",898,24419,"Unknown","1","1","1"
"4","230",673,24655,"Unknown","1","1","1"
"5","246",1943,21503,"Unknown","1","1","1"
"6","247",1961,21712,"Unknown","1","1","1"
"7","251",466,23693,"Unknown","1","1","1"
"8","266",132,20797,"Unknown","1","1","1"
"9","NTC",0,20869,"Unknown","1","1","1"
"10","30",76,26515,"Unknown","1","1","1"
"11","33",215,25930,"Unknown","1","1","1"
"12","35",1482,23717,"Unknown","1","1","1"
"13","38",1726,23470,"Unknown","1","1","1"
"14","81",910,24623,"Unknown","1","1","1"
"15","90",25,24833,"Unknown","1","1","1"
"16","133",431,25047,"Unknown","1","1","1"
"17","47",70,22562,"Unknown","1","1","1"
"18","52",1986,23126,"Unknown","1","1","1"
"19","61",381,21155,"Unknown","1","1","1"
"20","71",305,21788,"Unknown","1","1","1"
"21","139",286,24520,"Unknown","1","1","1"
"22","147",568,23696,"Unknown","1","1","1"
"23","148",144,24224,"Unknown","1","1","1"
"24","198",459,24273,"Unknown","1","1","1"
"25","74",722,25251,"Unknown","1","1","1"
"26","75",510,24104,"Unknown","1","1","1"
"27","77",173,25645,"Unknown","1","1","1"
"28","25",1993,23494,"Unknown","1","1","1"
"29","201",119,23807,"Unknown","1","1","1"
"30","19",305,23538,"Unknown","1","1","1"
"31","U2OS-wt",0,22491,"Unknown","1","1","1"
"32","NTC",0,24011,"Unknown","1","1","1"
"33","5",191,23636,"Unknown","1","1","1"
"34","19",305,25127,"Unknown","1","1","1"
"35","21",180,24158,"Unknown","1","1","1"
"36","25",1884,22210,"Unknown","1","1","1"
"37","29",38,24258,"Unknown","1","1","1"
"38","30",13,1929,"Unknown","1","1","1"
"39","U2OS-wt",1,25063,"Unknown","1","1","1"
"40","NTC",0,22450,"Unknown","1","1","1"
"41","203",447,25124,"Reference","1","1","1"
"42","214",745,18996,"Reference","1","1","1"
"43","220",1377,23940,"Reference","1","1","1"
"44","230",992,24336,"Reference","1","1","1"
"45","246",1984,21462,"Reference","1","1","1"
"46","247",2012,21661,"Reference","1","1","1"
"47","251",458,23701,"Reference","1","1","1"
"48","266",280,20649,"Reference","1","1","1"
"49","NTC",0,20869,"Reference","1","1","1"
"50","30",180,26411,"Reference","1","1","1"
"51","33",285,25860,"Reference","1","1","1"
"52","35",1435,23764,"Reference","1","1","1"
"53","38",1846,23350,"Reference","1","1","1"
"54","81",407,25126,"Reference","1","1","1"
"55","90",22,24836,"Reference","1","1","1"
"56","133",887,24591,"Reference","1","1","1"
"57","47",68,22564,"Reference","1","1","1"
"58","52",1962,23150,"Reference","1","1","1"
"59","61",718,20818,"Reference","1","1","1"
"60","71",255,21838,"Reference","1","1","1"
"61","139",255,24551,"Reference","1","1","1"
"62","147",573,23691,"Reference","1","1","1"
"63","148",270,24098,"Reference","1","1","1"
"64","198",422,24310,"Reference","1","1","1"
"65","74",607,25366,"Reference","1","1","1"
"66","75",732,23882,"Reference","1","1","1"
"67","77",222,25596,"Reference","1","1","1"
"68","25",1901,23586,"Reference","1","1","1"
"69","201",215,23711,"Reference","1","1","1"
"70","19",295,23548,"Reference","1","1","1"
"71","U2OS-wt",1290,21201,"Reference","1","1","1"
"72","NTC",0,24011,"Reference","1","1","1"
"73","5",390,23437,"Reference","1","1","1"
"74","19",308,25124,"Reference","1","1","1"
"75","21",136,24202,"Reference","1","1","1"
"76","25",1996,22098,"Reference","1","1","1"
"77","29",35,24261,"Reference","1","1","1"
"78","30",20,1922,"Reference","1","1","1"
"79","U2OS-wt",1471,23593,"Reference","1","1","1"
"80","NTC",0,22450,"Reference","1","1","1"
